,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
27,2022,3,Chaco,27.0,62.0,45.0,8.0,2.0,144.0
28,2022,3,Chubut,45.0,72.0,10.0,30.0,9.0,166.0
29,2022,3,Córdoba,164.0,465.0,339.0,61.0,10.0,1039.0
30,2022,3,Corrientes,37.0,77.0,19.0,7.0,5.0,145.0
31,2022,3,Entre Ríos,60.0,133.0,37.0,26.0,13.0,269.0
32,2022,3,Formosa,14.0,26.0,11.0,17.0,212.0,280.0
33,2022,3,Jujuy,19.0,53.0,40.0,4.0,2.0,118.0
34,2022,3,La Pampa,8.0,60.0,24.0,20.0,4.0,116.0
35,2022,3,La Rioja,7.0,54.0,20.0,6.0,31.0,118.0
36,2022,3,Mendoza,38.0,79.0,143.0,28.0,3.0,291.0
37,2022,3,Misiones,36.0,89.0,39.0,11.0,8.0,183.0
38,2022,3,Neuquén,29.0,76.0,29.0,27.0,1.0,162.0
39,2022,3,Río Negro,36.0,48.0,41.0,17.0,19.0,161.0
40,2022,3,Salta,40.0,97.0,50.0,10.0,7.0,204.0
41,2022,3,San Juan,39.0,23.0,12.0,22.0,8.0,104.0
42,2022,3,San Luis,7.0,29.0,248.0,71.0,15.0,370.0
43,2022,3,Santa Cruz,10.0,24.0,11.0,4.0,582.0,631.0
44,2022,3,Santa Fe,184.0,426.0,215.0,43.0,20.0,888.0
45,2022,3,Santiago Del Estero,15.0,81.0,13.0,7.0,3.0,119.0
46,2022,3,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,1232.0
47,2022,3,Tucumán,78.0,19.0,162.0,4.0,519.0,782.0
48,2022,2,Buenos Aires,351.0,3.0,1.0,127.0,71.0,553.0
49,2022,2,Capital Federal,145.0,1.0,122.0,6.0,32.0,306.0
50,2022,2,Catamarca,12.0,9.0,42.0,1.0,2.0,66.0
51,2022,2,Chaco,30.0,61.0,42.0,8.0,2.0,143.0
